# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#          Temp        Energy Magnetization             C           Chi
              0            -2             1           NaN           NaN
            0.1            -2             1             0             0
            0.2            -2             1             0             0
            0.3            -2             1             0             0
            0.4            -2             1             0             0
            0.5            -2             1             0             0
            0.6            -2             1             0             0
            0.7    -1.9996875    0.99992187  0.0050510204 0.00022098214
            0.8    -1.9996875    0.99992187  0.0038671875 0.00019335938
            0.9    -1.9990625    0.99976562  0.0089814815 0.00050520833
              1    -1.9959375    0.99890625      0.032025    0.00250625
            1.1    -1.9945313    0.99859375   0.039643595  0.0029488636
            1.2    -1.9854687    0.99617188   0.093103299  0.0082018229
            1.3        -1.985    0.99609375   0.078343195  0.0073317308
            1.4     -1.970625    0.99203125    0.11752551   0.014058036
            1.5    -1.9504687    0.98632812    0.14336389   0.019869792
            1.6    -1.9278125    0.97953125     0.2674707   0.040972656
            1.7    -1.8932813    0.96851562    0.34993728   0.069752757
            1.8    -1.8582813    0.95703125    0.39863233    0.09296875
            1.9    -1.8015625    0.93734375    0.46000693    0.12927303
              2    -1.7517187    0.91367188    0.72809219    0.30099609
            2.1    -1.6451563    0.86617188    0.90484552    0.75902604
            2.2    -1.4542187    0.66296875     2.1258407     7.7326733
            2.3    -1.3457812         0.585      1.566081     6.0833261
            2.4    -1.2579688    0.52765625     1.4894737     5.0630755
            2.5    -1.1326562    0.35203125      0.950699     5.8888525
            2.6    -1.0298437     0.3115625    0.72560928     3.4761154
            2.7     -0.965625    0.22648437    0.60048011     2.7899878
            2.8   -0.91421875       0.22625     0.5805955     2.0892768
            2.9     -0.869375      0.196875    0.39127824      1.462069
              3     -0.808125    0.15898438    0.40987222     1.2488932
            3.1   -0.76171875    0.16984375    0.37960133    0.94955847
            3.2   -0.75453125        0.1625    0.24100281    0.85761719
            3.3   -0.69484375      0.140625    0.30641127    0.72717803
            3.4   -0.67703125    0.13484375     0.1629601     0.5119136
            3.5      -0.65875    0.13367187    0.29282857    0.62525848
            3.6        -0.625      0.119375    0.26967593    0.59141319
            3.7         -0.61    0.10421875    0.25282323    0.44959628
            3.8       -0.5975    0.12484375    0.24836565    0.58864967
            3.9         -0.57      0.106875    0.20837278    0.37378846
              4   -0.55828125   0.098828125     0.1900668    0.52823242
            4.1    -0.5259375    0.10054687    0.16985574    0.41773285
            4.2         -0.53   0.095234375    0.18854025    0.45354874
            4.3     -0.486875   0.093671875   0.098547864    0.30548656
            4.4   -0.49046875   0.097421875    0.12118382    0.32602663
            4.5     -0.495625   0.094140625    0.16438765    0.34384549
            4.6   -0.47296875   0.095546875    0.11305854     0.2194195
            4.7    -0.4596875   0.087421875    0.11618266    0.24492653
            4.8   -0.46203125   0.088984375   0.086222602    0.26496712
            4.9    -0.4590625    0.08015625    0.10895356    0.19889158
              5    -0.4234375   0.086484375      0.115725    0.18957844
