# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.438381242752075
#   Initial Sweeps: 100
#            Width: 4
#        Generator: Xorshift
#    Sweep Pattern: CheckerSweep
# Total Sweep Time: 0.794344883
# Total Histogram Time: 0.006714384
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
              1    -1.9971339   0.011926843    -1.9960884   0.016191653    -1.9970109   0.012378183    -1.9969904   0.012387169    -1.9971246   0.011838748    -1.9971623   0.011690109
           1.01    -1.9968876   0.012711224     -1.995754   0.017249901    -1.9967553   0.013191425    -1.9967347   0.013191025    -1.9968802   0.012607567     -1.996921    0.01245033
           1.02    -1.9966252   0.013529033    -1.9953981    0.01835337    -1.9964831   0.014040404    -1.9964625    0.01402917    -1.9966201   0.013409241    -1.9966641   0.013243177
           1.03    -1.9963462   0.014380682    -1.9950196   0.019502762    -1.9961935   0.014925831    -1.9961733   0.014902201    -1.9963436   0.014244348     -1.996391   0.014069242
           1.04    -1.9960498   0.015266545    -1.9946176   0.020698748    -1.9958858   0.015848406    -1.9958662   0.015810705    -1.9960501   0.015113455    -1.9961011   0.014929104
           1.05    -1.9957353    0.01618695    -1.9941913    0.02194197    -1.9955593   0.016808822    -1.9955406   0.016755256    -1.9957389    0.01601712    -1.9957937   0.015823335
           1.06    -1.9954021   0.017142182    -1.9937396   0.023233039    -1.9952132   0.017807766    -1.9951957   0.017736422    -1.9954092   0.016955891     -1.995468     0.0167525
           1.07    -1.9950494   0.018132479    -1.9932617    0.02457254    -1.9948467   0.018845915    -1.9948309   0.018754756    -1.9950604   0.017930308    -1.9951233   0.017717154
           1.08    -1.9946765    0.01915803    -1.9927564   0.025961025    -1.9944591   0.019923941    -1.9944453   0.019810805    -1.9946917   0.018940902     -1.994759   0.018717847
           1.09    -1.9942828   0.020218977    -1.9922229   0.027399018    -1.9940495   0.021042506    -1.9940382   0.020905107    -1.9943025   0.019988195    -1.9943744   0.019755121
