# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.7579504299163817
#   Initial Sweeps: 100
#            Width: 2
#        Generator: Xorshift
#    Sweep Pattern: IterSweep
# Total Sweep Time: 0.21221440400000002
# Total Histogram Time: 0.002112146
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
              1            -2             0    -1.9976646  0.0093308369    -1.9974148   0.010327273    -1.9973884   0.010434379    -1.9973765   0.010481568    -1.9973068   0.010760308
           1.01            -2             0    -1.9974723  0.0098990567     -1.997202   0.010955948    -1.9971734    0.01106985    -1.9971605   0.011119841    -1.9970851   0.011415577
           1.02            -2             0    -1.9972685   0.010487516    -1.9969765   0.011606982    -1.9969455   0.011727964    -1.9969316   0.011780846      -1.99685   0.012094186
           1.03            -2             0    -1.9970527   0.011096215    -1.9967376   0.012280372    -1.9967042   0.012408722    -1.9966891   0.012464582    -1.9966011   0.012796135
           1.04            -2             0    -1.9968245   0.011725129    -1.9964851   0.012976084     -1.996449   0.013112096    -1.9964328    0.01317102     -1.996338   0.013521395
           1.05            -2             0    -1.9965835   0.012374206    -1.9962184   0.013694058    -1.9961795   0.013838029    -1.9961622   0.013900102    -1.9960601   0.014269907
           1.06            -2             0    -1.9963294   0.013043369    -1.9959372   0.014434202    -1.9958953   0.014586438    -1.9958767   0.014651742     -1.995767   0.015041582
           1.07            -2             0    -1.9960617   0.013732516    -1.9956409   0.015196399    -1.9955959   0.015357209    -1.9955759   0.015425823    -1.9954583   0.015836302
           1.08            -2             0    -1.9957799   0.014441522    -1.9953292   0.015980502    -1.9952809   0.016150203    -1.9952595   0.016222205    -1.9951334   0.016653923
           1.09            -2             0    -1.9954839   0.015170236    -1.9950015    0.01678634    -1.9949498   0.016965253    -1.9949269   0.017040718     -1.994792   0.017494271
            1.1            -2             0     -1.995173   0.015918486    -1.9946576   0.017613716    -1.9946021   0.017802169    -1.9945777   0.017881168    -1.9944335   0.018357147
           1.11            -2             0     -1.994847   0.016686076    -1.9942969   0.018462407    -1.9942375   0.018660733    -1.9942115   0.018743335    -1.9940576   0.019242328
