# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.4395808696746837
#   Initial Sweeps: 100
#            Width: 4
#        Generator: Xorshift
#    Sweep Pattern: RandomSweep
# Total Sweep Time: 1.3821486870000002
# Total Histogram Time: 0.00829873
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
              1     -1.998644  0.0054242201    -1.9970809   0.012128818    -1.9970105   0.012272808    -1.9970887   0.012003646    -1.9971075   0.011921607    -1.9971556   0.011716055
           1.01    -1.9985322  0.0057563976    -1.9968303   0.012932144    -1.9967572   0.013064916    -1.9968408   0.012785906    -1.9968614   0.012697604    -1.9969138   0.012477736
           1.02    -1.9984137  0.0061008287    -1.9965634   0.013771626    -1.9964877    0.01389032     -1.996577   0.013601967    -1.9965994   0.013506977    -1.9966563   0.013272083
           1.03    -1.9982881  0.0064575977    -1.9962792   0.014648075    -1.9962014   0.014749553    -1.9962965   0.014452466    -1.9963209   0.014350335    -1.9963826   0.014099683
           1.04    -1.9981553   0.006826784    -1.9959772   0.015562303    -1.9958975   0.015643132    -1.9959987   0.015338033    -1.9960252   0.015228278    -1.9960921   0.014961117
           1.05    -1.9980149  0.0072084632    -1.9956565   0.016515119    -1.9955754   0.016571564    -1.9956828   0.016259292    -1.9957115   0.016141396     -1.995784   0.015856953
           1.06    -1.9978669  0.0076027085    -1.9953163   0.017507333    -1.9952344   0.017535338    -1.9953481    0.01721686    -1.9953793   0.017090273    -1.9954576   0.016787756
           1.07    -1.9977107  0.0080095918    -1.9949559   0.018539755    -1.9948737   0.018534933    -1.9949939    0.01821135    -1.9950277   0.018075483    -1.9951122   0.017754078
           1.08    -1.9975464  0.0084291849    -1.9945745   0.019613196    -1.9944927   0.019570815    -1.9946194   0.019243369     -1.994656   0.019097593    -1.9947472   0.018756468
           1.09    -1.9973735  0.0088615609    -1.9941711   0.020728466    -1.9940907   0.020643438    -1.9942239    0.02031352    -1.9942635   0.020157166    -1.9943617   0.019795465
            1.1    -1.9971918  0.0093067954     -1.993745   0.021886379    -1.9936668   0.021753244    -1.9938066   0.021422401    -1.9938495   0.021254756    -1.9939551   0.020871606
           1.11    -1.9970011  0.0097649682    -1.9932954   0.023087746    -1.9932203   0.022900666    -1.9933667    0.02257061    -1.9934131   0.022390912    -1.9935266    0.02198542
