# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
#          Temp        Energy           Mag       S. Heat           Chi
              1        3.9955    0.99938125     0.1110909   0.001196125
      1.0588235     3.9918687     0.9988625    0.18837961  0.0023121181
      1.1176471       3.98235    0.99774688    0.70369266   0.008468248
      1.1764706     3.9821188    0.99754687    0.42714543  0.0054535894
      1.2352941     3.9648875    0.99404688     1.6764853    0.11458058
      1.2941176     3.9518313    0.99021875     1.8264751    0.38357923
      1.3529412     3.9123688    0.97380937     4.2367867      1.491695
      1.4117647     3.7850313     0.8576375      10.05383     11.036819
      1.4705882     3.8327125    0.94053125     7.1190831     4.1599669
      1.5294118     3.7039437    0.84565937     12.680038     10.286613
      1.5882353     3.7779062    0.92441875     6.3048641     2.9117562
      1.6470588     3.7327312      0.931825      9.416678     2.7687399
      1.7058824      3.561825       0.81885     12.260031     7.8604345
      1.7647059     3.5251375    0.83630937     13.120407     8.0434351
      1.8235294     3.3487187    0.72340937     15.083156     11.486175
      1.8823529     3.2918375    0.73290937     17.705456     11.115846
      1.9411765     3.2029375    0.66355938     15.534103     12.037905
              2     3.0736812    0.61542812     16.689633     12.861815
      2.0588235      2.908175    0.53280625     14.660951     12.081156
      2.1176471     2.9162125    0.55608437     13.882031     11.234037
      2.1764706     2.8034125    0.54437812     15.651318     11.367384
      2.2352941     2.6455062    0.49418125     14.048729      9.269746
      2.2941176     2.5913562    0.48873125     12.052991      8.651112
      2.3529412       2.48865    0.45573125      13.28948     8.6345479
      2.4117647     2.4266125    0.43267188     11.489979     8.2390561
      2.4705882     2.3463813    0.43999375      11.56475     7.4746788
      2.5294118       2.22435    0.38150937     9.8765668     6.4140767
      2.5882353     2.1493313        0.3651     9.2608022     5.9357521
      2.6470588     2.0825688     0.3422875     8.3013717     5.1607545
      2.7058824      1.978475    0.33531562     7.9767129     4.9050875
      2.7647059     1.9133188       0.32255     7.5190928     4.4934664
      2.8235294     1.8668188    0.32580938     7.4316286     4.2818251
      2.8823529      1.800075    0.30782188      6.625678     4.0369215
      2.9411765      1.703075    0.28311562     6.1958452     3.4077573
              3       1.68345    0.29405937     5.5437367     3.2814221
      3.0588235     1.5986812    0.26142188      4.845579      2.739683
      3.1176471     1.5531187     0.2571875     4.8423313     2.6215256
      3.1764706     1.5423625     0.2645875     4.5272613     2.6851753
      3.2352941     1.5040687    0.24917187     4.0717618     2.5365575
      3.2941176      1.454575    0.24483125     3.8556962     2.1973344
      3.3529412     1.3910125    0.23006875     3.4582494     2.0168198
      3.4117647     1.3367813    0.21834687     3.2767392     1.9521423
      3.4705882     1.2984375    0.20769687     3.0701544     1.5944856
      3.5294118     1.2886437    0.20242188     2.8359896     1.5418524
      3.5882353        1.2433    0.21111563     2.6626948     1.6158046
      3.6470588     1.1910875    0.19846563     2.2338351      1.437953
      3.7058824     1.1781687    0.19196563     2.2224697     1.3560874
      3.7647059     1.1534937    0.19249688      2.067675     1.2898923
      3.8235294     1.1449625    0.18735312     2.1071445     1.2045601
      3.8823529     1.1018188    0.18135938     1.8822638     1.1511507
      3.9411765       1.06235      0.168375     1.8157142     1.0286897
